Query_ID,Query_Text,Category,Sub_Category,Sentiment,Sentiment_Intensity,Sarcasm_Detected,Platform,Confidence,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score,Entity_Extraction,Escalation_Required,Business_Impact
COMPLEX-023,"Can I split my payment between 3 different cards?",Payment Issues,Complex Payment,Neutral,Low,FALSE,Chat,0.72,60%,Path B - RAG Response,420,3.8,"Request: Split Payment, Cards: 3x",FALSE,Low
COMPLEX-024,"I have a corporate account with bulk discounts. Is my recent order eligible?",Order Tracking,Corporate Account,Positive,Low,FALSE,Email,0.88,85%,Path A - API Resolution,210,4.4,"Account Type: Corporate, Feature: Bulk Discount",FALSE,Low
COMPLEX-025,"The website crashed while I was checking out and now I've been charged but no order!",Payment Issues,Technical Error,Critical,Very High,FALSE,WhatsApp,0.94,95%,Path A - API Resolution,280,3.6,"Issue: Payment without Order, Cause: Site Crash",TRUE,Critical
COMPLEX-026,"I need this delivered by tomorrow for my wedding. What options do you have?",Order Tracking,Time Sensitive,Positive,High,FALSE,Chat,0.87,75%,Path B - RAG Response,420,4.3,"Timeline: 24h, Event: Wedding, Urgency: High",FALSE,High
COMPLEX-027,"Your competitor ships for free. Why do you charge?",General Questions,Competitive Analysis,Neutral,Low,FALSE,Email,0.76,70%,Path B - RAG Response,420,3.7,"Question: Shipping Cost, Comparison: Competitor",FALSE,Low
COMPLEX-028,"My child accidentally ordered $500 worth of items. I want to cancel everything!",Order Tracking,Unintended Purchase,Negative,Medium,FALSE,WhatsApp,0.91,90%,Path A - API Resolution,280,3.9,"Amount: $500, Reason: Accidental, Items: Multiple",TRUE,High
COMPLEX-029,"I'm a content creator with 100k followers. Can we discuss a partnership?",General Questions,Business Opportunity,Positive,Low,FALSE,Instagram,0.68,20%,Path C - Escalation,600,4.1,"Opportunity: Partnership, Follower Base: 100k",TRUE,Low
COMPLEX-030,"My account shows 3 open disputes from last month that should be resolved",Refund Requests,Dispute Resolution,Negative,Medium,FALSE,Email,0.87,65%,Path C - Escalation,600,3.5,"Disputes: 3x, Status: Unresolved, Timeline: 1 month",TRUE,High
COMPLEX-031,"Can you match the time-limited promotional offer that expired yesterday?",Refund Requests,Promotional Dispute,Negative,Medium,FALSE,Chat,0.75,50%,Path B - RAG Response,420,3.6,"Request: Price Adjustment, Promo: Expired",FALSE,Low
COMPLEX-032,"I requested a refund 3 weeks ago and it's still showing as pending!",Refund Requests,Delayed Refund,Negative,High,FALSE,WhatsApp,0.91,75%,Path C - Escalation,600,3.4,"Refund Status: Pending, Days: 21",TRUE,High
COMPLEX-033,"The loyalty points on my account don't match my record. This is a significant discrepancy!",General Questions,Account Discrepancy,Negative,Medium,FALSE,Email,0.89,80%,Path A - API Resolution,280,3.7,"Issue: Points Mismatch, Concern: Significant",FALSE,Medium
COMPLEX-034,"Can I return an item purchased 45 days ago? I have proof of purchase",Refund Requests,Extended Return,Neutral,Low,FALSE,Chat,0.81,70%,Path B - RAG Response,420,3.9,"Timeline: 45 days, Evidence: Proof of Purchase",FALSE,Low
COMPLEX-035,"My subscription keeps charging even after I requested to pause it!",Subscription Issues,Billing Error,Negative,High,FALSE,WhatsApp,0.93,90%,Path A - API Resolution,280,3.5,"Issue: Unwanted Charge, Action Requested: Pause",TRUE,High
COMPLEX-036,"I need a detailed invoice for business tax deduction purposes ASAP",General Questions,Tax Documentation,Neutral,Low,FALSE,Email,0.94,98%,Path A - API Resolution,180,4.5,"Purpose: Tax Deduction, Timeline: ASAP",FALSE,Low
COMPLEX-037,"Two of my orders arrived at the same time but came from different warehouses. Why?",General Questions,Logistical Question,Neutral,Low,FALSE,Chat,0.80,75%,Path B - RAG Response,420,4.0,"Orders: 2x, Warehouse: Different",FALSE,Low
COMPLEX-038,"I'm moving internationally. Can I change delivery to my new address in Germany?",Order Tracking,Address Change,Neutral,Low,FALSE,WhatsApp,0.85,80%,Path A - API Resolution,290,4.2,"Change: Address, Destination: International",FALSE,Low
COMPLEX-039,"This product has been on backorder for 2 months. When will it be available?",Order Tracking,Backorder Status,Negative,Medium,FALSE,Email,0.88,95%,Path A - API Resolution,210,3.8,"Status: Backorder, Duration: 60 days",FALSE,Medium
COMPLEX-040,"I purchased the 'genuine' item but discovered it's counterfeit! I want a refund and explanation!",Product Complaints,Counterfeit Product,Critical,Very High,FALSE,Chat,0.96,85%,Path C - Escalation Priority,600,2.6,"Issue: Authenticity, Severity: Fraud Concern",TRUE,Critical
COMPLEX-041,"I negotiated a bulk order with a company representative last month. Where's my custom quote?",Order Tracking,Corporate Sales,Neutral,Low,FALSE,Email,0.82,65%,Path C - Escalation,600,3.9,"Type: B2B, Timeline: 1 month",FALSE,High
COMPLEX-042,"Can you process a return and issue store credit instead of a refund?",Refund Requests,Alternative Resolution,Neutral,Low,FALSE,WhatsApp,0.84,88%,Path B - RAG Response,420,4.1,"Preference: Store Credit, Alternative: Refund",FALSE,Low
COMPLEX-043,"My order arrived but the box was severely damaged and contents loose inside",Delivery Delays,Damage in Transit,Negative,High,FALSE,Chat,0.92,85%,Path A - API Resolution,290,3.6,"Issue: Shipping Damage, Severity: High",TRUE,High
COMPLEX-044,"Is there a student or educational discount available for bulk orders?",General Questions,Special Offers,Neutral,Low,FALSE,Email,0.86,95%,Path B - RAG Response,420,4.3,"Category: Education, Request: Discount",FALSE,Low
COMPLEX-045,"I've been trying to contact support for 5 days with no response!",General Questions,Support Failure,Critical,Very High,FALSE,WhatsApp,0.94,10%,Path C - Escalation Priority,600,2.3,"Issue: No Response, Duration: 5 days",TRUE,Critical
COMPLEX-046,"Can my order be expedited? I'll pay extra for overnight shipping",Order Tracking,Premium Service,Positive,Low,FALSE,Chat,0.91,95%,Path A - API Resolution,210,4.5,"Request: Expedite, Premium: Overnight",FALSE,Low
COMPLEX-047,"I have a medical reason for needing this item urgently. Can you help?",Order Tracking,Compassionate Request,Positive,Low,FALSE,Email,0.88,80%,Path B - RAG Response,420,4.4,"Reason: Medical, Priority: Compassionate",FALSE,Very High
COMPLEX-048,"The product description was misleading. It's completely different from what I expected",Product Complaints,False Advertising,Negative,High,FALSE,WhatsApp,0.91,75%,Path C - Escalation,600,3.3,"Issue: Misrepresentation, Severity: High",TRUE,High
COMPLEX-049,"I want to cancel my 12-month subscription but you're charging an early termination fee!",Subscription Issues,Cancellation Dispute,Negative,High,FALSE,Chat,0.89,70%,Path B - RAG Response,420,3.4,"Issue: Termination Fee, Agreement: Dispute",TRUE,High
COMPLEX-050,"Beautiful product! But I need to know about warranty coverage before finalizing purchase",General Questions,Pre-Purchase,Positive,Low,FALSE,Email,0.91,92%,Path B - RAG Response,420,4.5,"Status: Pre-Purchase, Question: Warranty",FALSE,Low
COMPLEX-051,"My VIP status was removed without explanation! I spent over $50k with you annually",General Questions,Account Status,Critical,Very High,FALSE,WhatsApp,0.96,50%,Path C - Escalation Priority,600,2.4,"Customer Value: $50k+, Issue: Unnotified Change",TRUE,Critical
COMPLEX-052,"I need to report a security breach. Someone accessed my account!",General Questions,Security Incident,Critical,Very High,FALSE,Email,0.98,5%,Path C - Escalation Priority,600,2.3,"Issue: Unauthorized Access, Urgency: Security",TRUE,Critical
COMPLEX-053,"Can you generate a report comparing my spending across all categories?",General Questions,Analytics Request,Neutral,Low,FALSE,Chat,0.84,80%,Path A - API Resolution,280,4.2,"Request: Spending Report, Scope: All Categories",FALSE,Low
COMPLEX-054,"I received someone else's order by mistake. How do we resolve this?",Order Tracking,Wrong Order Sent,Neutral,Medium,FALSE,WhatsApp,0.92,85%,Path A - API Resolution,290,3.8,"Issue: Wrong Order, Resolution: Swap/Reroute",TRUE,High
COMPLEX-055,"My subscription was supposed to give me free shipping but I'm being charged shipping fees!",Subscription Issues,Benefit Discrepancy,Negative,Medium,FALSE,Email,0.90,85%,Path A - API Resolution,280,3.6,"Issue: Missing Benefit, Type: Shipping",TRUE,High
COMPLEX-056,"I'd like to purchase this item as a gift with a custom message. Can you help?",General Questions,Special Request,Positive,Low,FALSE,Chat,0.86,90%,Path B - RAG Response,420,4.4,"Request: Custom Gift Message, Priority: Low",FALSE,Low
COMPLEX-057,"The app doesn't work on my older phone. Do you support backward compatibility?",Technical Support,Device Compatibility,Neutral,Low,FALSE,WhatsApp,0.81,75%,Path B - RAG Response,420,3.9,"Issue: Device Support, Type: Compatibility",FALSE,Low
COMPLEX-058,"I have multiple orders on hold. Can you batch process them together?",Order Tracking,Batch Processing,Neutral,Low,FALSE,Email,0.79,70%,Path B - RAG Response,420,3.8,"Request: Batch Process, Type: Multiple Orders",FALSE,Low
COMPLEX-059,"Your website says the item is in stock but checkout says it's out of stock!",General Questions,System Error,Negative,Medium,FALSE,Chat,0.88,85%,Path A - API Resolution,280,3.7,"Issue: Inventory Sync Error, Platform: Website",FALSE,Medium
COMPLEX-060,"I need proof of delivery because my customer is claiming non-receipt",Order Tracking,Proof Required,Neutral,Low,FALSE,WhatsApp,0.93,98%,Path A - API Resolution,180,4.3,"Need: Proof of Delivery, Purpose: Dispute Resolution",FALSE,Low
COMPLEX-061,"Can I combine multiple promotions for maximum discount?",General Questions,Promotion Stacking,Neutral,Low,FALSE,Email,0.75,60%,Path B - RAG Response,420,3.7,"Request: Combine Promos, Type: Discount",FALSE,Low
COMPLEX-062,"I've noticed prices are lower in another region. Is this fair pricing?",General Questions,Pricing Transparency,Negative,Medium,FALSE,Chat,0.82,65%,Path B - RAG Response,420,3.6,"Issue: Regional Price Variance, Concern: Fairness",TRUE,Low
COMPLEX-063,"My order contains restricted items for my country. Will it be held at customs?",Order Tracking,Regulatory Compliance,Neutral,Low,FALSE,Whats App,0.81,70%,Path B - RAG Response,420,3.8,"Issue: Customs, Concern: Country Restrictions",FALSE,High
COMPLEX-064,"I purchased on behalf of my company. Can I get an invoice with company details?",General Questions,B2B Request,Neutral,Low,FALSE,Email,0.88,95%,Path A - API Resolution,210,4.3,"Type: B2B, Request: Company Invoice",FALSE,Low
COMPLEX-065,"The seasonal sale pricing is showing as expired but items are still marked as 'Sale'",General Questions,Pricing Discrepancy,Negative,Low,FALSE,WhatsApp,0.86,80%,Path A - API Resolution,280,3.7,"Issue: Pricing Mismatch, Scope: Seasonal Sale",FALSE,Low
COMPLEX-066,I want a replacement but in a different color since my original order is backordered.,Refund Requests,Conditional Replacement,Neutral,Low,FALSE,Chat,0.80,75%,Path B - RAG Response,420,4.0,"Request: Replacement with Variant, Condition: Alternative",FALSE,Low
COMPLEX-067,"My payment method was declined but I was still charged. Please investigate!",Payment Issues,Phantom Charge,Negative,High,FALSE,Email,0.95,90%,Path A - API Resolution,280,3.4,"Issue: Declined Card Yet Charged, Urgency: High",TRUE,High
COMPLEX-068,"I need to update my payment method for a recurring subscription. How do I do this?",Subscription Issues,Account Management,Neutral,Low,FALSE,WhatsApp,0.92,98%,Path B - RAG Response,420,4.4,"Request: Update Payment, Type: Recurring",FALSE,Low
COMPLEX-069,"Can you provide a complete audit trail of all purchases and refunds on my account?",General Questions,Compliance Request,Neutral,Low,FALSE,Chat,0.91,85%,Path A - API Resolution,280,4.3,"Request: Full Audit Trail, Purpose: Account Review",FALSE,Low
COMPLEX-070,"I purchased a digital product but never received the download link!",Order Tracking,Digital Delivery,Negative,Medium,FALSE,Email,0.94,95%,Path A - API Resolution,210,3.7,"Type: Digital Product, Issue: Missing Link",TRUE,High
