"Business_Impact","Category","Confidence","Customer_Satisfaction_Score","Entity_Extraction","Escalation_Required","Expected_Automation_Rate","Expected_Resolution_Path","Expected_Response_Time_ms","Platform","Query_ID","Query_Text","Sarcasm_Detected","Sentiment","Sentiment_Intensity","Sub_Category"
,"Delivery Delays","0.87","3.8",,,"70%","Path A - API Resolution","340","Instagram","DD-005","My delivery is running behind schedule",,"Negative",,
,"Delivery Delays","0.88","3.5",,,"60%","Path C - Escalation","600","WhatsApp","DD-006","It's been a week and my order hasn't arrived!!",,"Negative",,
,"Delivery Delays","0.86","3.5",,,"60%","Path C - Escalation","600","Email","DD-007","This is taking forever! Where's my delivery?",,"Negative",,
,"Delivery Delays","0.84","3.5",,,"60%","Path C - Escalation","600","Chat","DD-008","Expected delivery 5 days ago - still nothing!",,"Negative",,
,"Delivery Delays","0.82","3.5",,,"60%","Path C - Escalation","600","WhatsApp","DD-009","I'm very disappointed. Order still hasn't arrived",,"Negative",,
,"Delivery Delays","0.80","3.4",,,"50%","Path C - Escalation","600","Email","DD-010","This delivery delay is unacceptable!",,"Negative",,
,"Delivery Delays","0.78","2.8",,,"30%","Path C - Escalation","600","WhatsApp","DD-011","My order is 2 weeks late! This is ridiculous!",,"Critical",,
,"Delivery Delays","0.75","2.5",,,"25%","Path C - Escalation","600","Email","DD-012","2 weeks waiting! I want a refund or replacement NOW!",,"Critical",,
,"Delivery Delays","0.76","2.8",,,"30%","Path C - Escalation","600","Chat","DD-013","Ordered 3 weeks ago - STILL no delivery!",,"Critical",,
,"Delivery Delays","0.77","3.2",,,"40%","Path C - Escalation","600","Instagram","DD-014","This is the worst service ever. Package is 10 days late!",,"Negative",,
,"Delivery Delays","0.81","3.4",,,"50%","Path C - Escalation","600","WhatsApp","DD-015","Delivery is so delayed I'm considering canceling!",,"Negative",,
,"Delivery Delays","0.89","3.8",,,"70%","Path A - API Resolution","340","Email","DD-016","Why is my delivery taking this long?",,"Negative",,
,"Delivery Delays","0.86","3.8",,,"70%","Path A - API Resolution","340","Chat","DD-017","Will my package ever arrive??",,"Negative",,
,"Delivery Delays","0.87","3.8",,,"70%","Path A - API Resolution","340","WhatsApp","DD-018","Expected 5 days ago still not here!",,"Negative",,
,"Delivery Delays","0.77","2.8",,,"30%","Path C - Escalation","600","Email","DD-019","This is beyond unacceptable! 2 week delay!",,"Critical",,
,"Delivery Delays","0.85","3.7",,,"65%","Path B - RAG Response","420","Chat","DD-020","My delivery keeps getting delayed!",,"Negative",,
,"Delivery Delays","0.84","3.7",,,"65%","Path B - RAG Response","420","Instagram","DD-021","How much longer do I have to wait??",,"Negative",,
,"Delivery Delays","0.82","3.5",,,"60%","Path C - Escalation","600","WhatsApp","DD-022","Fed up with these delays! Where's my order?!",,"Negative",,
,"Refund Requests","0.94","4.1",,,"85%","Path A - API Resolution","290","Email","RF-001","I want a refund for my last purchase",,"Neutral",,
,"Refund Requests","0.92","4.1",,,"85%","Path A - API Resolution","290","WhatsApp","RF-002","Can I get my money back? I changed my mind",,"Neutral",,
,"Refund Requests","0.96","4.1",,,"85%","Path A - API Resolution","290","Chat","RF-003","Please process a refund for order #ORD-12345",,"Neutral",,
,"Refund Requests","0.95","4.1",,,"85%","Path A - API Resolution","290","Email","RF-004","I'd like to return this item",,"Neutral",,
,"Refund Requests","0.93","4.0",,,"85%","Path B - RAG Response","420","Instagram","RF-005","How do I get a refund?",,"Neutral",,
,"Refund Requests","0.92","4.3",,,"95%","Path A - API Resolution","290","WhatsApp","RF-006","The product arrived damaged - I need a refund!",,"Negative",,
,"Refund Requests","0.90","4.3",,,"95%","Path A - API Resolution","290","Email","RF-007","Defective item - pushing for full refund",,"Negative",,
,"Refund Requests","0.88","4.2",,,"90%","Path A - API Resolution","290","Chat","RF-008","Product doesn't match description - want refund",,"Negative",,
,"Refund Requests","0.91","4.3",,,"95%","Path A - API Resolution","290","WhatsApp","RF-009","Got the wrong item - need refund ASAP!",,"Negative",,
,"Refund Requests","0.89","4.2",,,"90%","Path A - API Resolution","290","Email","RF-010","Item is broken - requesting full refund",,"Negative",,
,"Refund Requests","0.72","3.8",,,"40%","Path B - RAG Response","420","Chat","RF-011","I want a refund but still want to keep the product",,"Neutral",,
,"Refund Requests","0.75","3.9",,,"70%","Path C - Escalation","450","WhatsApp","RF-012","Refund request for ORD-12345 - delivery took too long",,"Negative",,
,"Refund Requests","0.81","3.9",,,"75%","Path B - RAG Response","420","Email","RF-013","Can I get partial refund?",,"Neutral",,
,"Refund Requests","0.78","3.9",,,"70%","Path C - Escalation","450","Chat","RF-014","Refund all charges - very unhappy!",,"Negative",,
,"Refund Requests","0.76","3.8",,,"65%","Path C - Escalation","450","Instagram","RF-015","I need a refund AND apology for late delivery!",,"Negative",,
,"Refund Requests","0.79","3.9",,,"70%","Path C - Escalation","450","WhatsApp","RF-016","Still waiting 2 weeks for refund on returned item",,"Negative",,
,"Refund Requests","0.74","3.7",,,"60%","Path C - Escalation","450","Email","RF-017","Demand refund - service was poor!",,"Negative",,
,"Refund Requests","0.85","4.0",,,"80%","Path B - RAG Response","420","Chat","RF-018","Can I get store credit instead of refund?",,"Neutral",,
,"Product Complaints","0.89","3.6",,,"60%","Path B - RAG Response","420","Email","PC-001","This product quality is terrible!",,"Negative",,
,"Product Complaints","0.87","3.6",,,"60%","Path B - RAG Response","420","WhatsApp","PC-002","The product doesn't work as advertised",,"Negative",,
,"Product Complaints","0.85","3.5",,,"55%","Path B - RAG Response","420","Chat","PC-003","Product performance is below expectations",,"Negative",,
,"Product Complaints","0.88","3.6",,,"60%","Path B - RAG Response","420","Instagram","PC-004","This item is not what was described",,"Negative",,
,"Product Complaints","0.86","3.6",,,"60%","Path B - RAG Response","420","Email","PC-005","Terrible product - completely disappointed",,"Negative",,
,"Product Complaints","0.92","4.2",,,"90%","Path A - API Resolution","290","WhatsApp","PC-006","The fitness tracker arrived BROKEN!",,"Negative",,
,"Product Complaints","0.90","4.1",,,"85%","Path A - API Resolution","290","Email","PC-007","Product came with missing parts",,"Negative",,
,"Product Complaints","0.91","3.9",,,"80%","Path B - RAG Response","420","Chat","PC-008","This app keeps crashing - completely unusable!",,"Negative",,
,"Product Complaints","0.89","4.1",,,"85%","Path A - API Resolution","290","Instagram","PC-009","Equipment arrived damaged in shipping",,"Negative",,
,"Product Complaints","0.88","4.1",,,"85%","Path A - API Resolution","290","WhatsApp","PC-010","Product stopped working after 2 days",,"Negative",,
,"Product Complaints","0.84","3.4",,,"50%","Path C - Escalation","450","Email","PC-011","I'm very frustrated with this product quality!",,"Negative",,
,"Product Complaints","0.82","3.3",,,"45%","Path B - RAG Response","420","Chat","PC-012","This supplement tastes awful!",,"Negative",,
,"Product Complaints","0.83","3.4",,,"50%","Path C - Escalation","450","WhatsApp","PC-013","Software has SO many bugs!",,"Negative",,
,"Product Complaints","0.81","3.2",,,"40%","Path C - Escalation","450","Instagram","PC-014","Worst purchase I've ever made",,"Negative",,
,"Product Complaints","0.79","3.2",,,"40%","Path C - Escalation","450","Email","PC-015","Can't believe I paid for this defective item!",,"Negative",,
,"Payment Issues","0.94","4.2",,,"80%","Path A - API Resolution","180","Email","PI-001","My card was declined. Can you help?",,"Neutral",,
,"Payment Issues","0.96","4.4",,,"95%","Path A - API Resolution","180","WhatsApp","PI-002","I've been charged twice for the same order!",,"Negative",,
,"Payment Issues","0.95","4.4",,,"95%","Path A - API Resolution","180","Chat","PI-003","Why was I charged 3 times?!",,"Negative",,
,"Payment Issues","0.92","4.2",,,"80%","Path A - API Resolution","180","WhatsApp","PI-004","My payment keeps failing",,"Neutral",,
,"Payment Issues","0.97","4.5",,,"98%","Path A - API Resolution","180","Email","PI-005","I see duplicate charges on my credit card",,"Negative",,
,"Subscription Issues","0.96","4.4",,,"90%","Path B - RAG Response","150","Email","SI-001","How do I cancel my subscription?",,"Neutral",,
,"Subscription Issues","0.94","4.4",,,"90%","Path B - RAG Response","150","Chat","SI-002","I want to upgrade to Premium plan",,"Positive",,
,"Subscription Issues","0.93","4.4",,,"90%","Path A - API Resolution","150","WhatsApp","SI-003","Can I pause my membership temporarily?",,"Neutral",,
,"General Questions","0.95","4.6",,,"98%","Path B - RAG Response","120","Email","GQ-001","What's your return policy?",,"Neutral",,
,"General Questions","0.98","4.6",,,"98%","Path B - RAG Response","120","Chat","GQ-002","How can I contact customer support?",,"Neutral",,
"High","Delivery Delays","0.88","3.5","Order: ORD-12345, Issue: Delay + Refund","TRUE","60%","Path C - Escalation","600","WhatsApp","COMPLEX-001","My order ORD-12345 is 5 days late AND I want a refund!","FALSE","Negative","High","Multiple Intent"
"Critical","Payment Issues","0.92","2.8","Charge ID: DUP-001, Subscription: SUB-456","TRUE","50%","Path C - Escalation","600","Email","COMPLEX-002","I was charged twice for my subscription AND the service is terrible!","FALSE","Critical","Very High","Multiple Intent"
"Medium","General Questions","0.85","3.9","App Issue: Crash, Feature: Order Tracking","FALSE","65%","Path B - RAG Response","420","Chat","COMPLEX-003","How do I use the app? It keeps crashing when I try to track orders","FALSE","Neutral","Medium","Technical Support"
"High","Delivery Delays","0.92","3.7","Order: Previous + Current, Pattern: Recurring","TRUE","65%","Path B - RAG Response","420","Instagram","COMPLEX-004","Oh great my package is late. AGAIN.","TRUE","Negative","High","Sarcasm"
"Medium","Product Complaints","0.72","3.2","Service Quality: Negative Implication","TRUE","40%","Path C - Escalation","600","Email","COMPLEX-005","Your customer service is...interesting.","TRUE","Negative","Medium","Implied Negativity"
"Low","Order Tracking","0.90","4.4","Language: Spanish, Order: ORD-98765","FALSE","90%","Path A - API Resolution","210","WhatsApp","COMPLEX-006","Dónde está mi pedido #ORD-98765?","FALSE","Neutral","Low","Multilingual"
"Low","Order Tracking","0.88","4.3","Language: German, Category: Package Tracking","FALSE","90%","Path A - API Resolution","210","Chat","COMPLEX-007","Wo ist mein Paket?","FALSE","Neutral","Low","Multilingual"
"Critical","Delivery Delays","0.78","2.8","Order: ORD-77889, Delay: 14 days","TRUE","30%","Path C - Escalation Priority","600","Email","COMPLEX-008","My order is 2 weeks late! This is ridiculous!","FALSE","Critical","Very High","Angry Customer"
"Critical","Product Complaints","0.92","2.5","Escalation Tier: Management, Urgency: Immediate","TRUE","10%","Path C - Escalation Priority","600","WhatsApp","COMPLEX-009","I want to speak to management NOW! This is unacceptable!","FALSE","Critical","Very High","Angry Escalation"
"Very High","Product Complaints","0.85","3.3","Customer LTV: High, History: 5 years","TRUE","45%","Path C - Escalation","600","Email","COMPLEX-010","I've been a loyal customer for 5 years and this service is shocking!","FALSE","Negative","High","VIP Customer"
"Low","Order Tracking","0.85","4.3","Orders: 3x, Status: Batch Query","FALSE","85%","Path A - API Resolution","290","Chat","COMPLEX-011","I placed 3 orders last week. Status on ORD-11223 ORD-33445 ORD-55667?","FALSE","Neutral","Low","Batch Query"
"High","Refund Requests","0.88","3.4","Issues: Damage + Refund Delay, Compounds: 2","TRUE","70%","Path C - Escalation","600","Instagram","COMPLEX-012","First the product arrived damaged then the refund took forever!","FALSE","Negative","High","Compound Issue"
"Critical","Payment Issues","0.97","2.4","Charges: 3x, Suspected: Fraud, Urgency: Critical","TRUE","5%","Path C - Escalation Priority","600","Email","COMPLEX-013","I notice you charged me 3 times. This looks like fraud!","FALSE","Critical","Very High","Fraud"
"Low","Order Tracking","0.79","4.0","Requests: 2x, Features: Expedite + Discount","FALSE","75%","Path B - RAG Response","420","WhatsApp","COMPLEX-014","Can you expedite my order and apply my discount code simultaneously?","FALSE","Neutral","Low","Multiple Requests"
"High","Subscription Issues","0.81","3.5","Issue: Auto-renewal, Concern: Legal/Compliance","TRUE","50%","Path C - Escalation","600","Chat","COMPLEX-015","My subscription renewed without explicit consent. Is this legal?","FALSE","Negative","High","Compliance"
"High","General Questions","0.94","4.5","Need: Accessibility, Requirement: Special Accommodation","FALSE","85%","Path B - RAG Response","420","Email","COMPLEX-016","I'm physically disabled and need accessible order tracking options","FALSE","Positive","Low","Accessibility"
"Low","Product Complaints","0.75","3.8","Request: Price Match, Category: Negotiation","FALSE","60%","Path B - RAG Response","420","Chat","COMPLEX-017","Will you match a competitor's pricing on this item?","FALSE","Neutral","Low","Price Negotiation"
"High","Order Tracking","0.91","3.3","Status: Contradiction, Delivery Claim: Disputed","TRUE","50%","Path C - Escalation","600","WhatsApp","COMPLEX-018","The tracking info says delivered but I never received it!","FALSE","Negative","High","Contradictory Status"
"Low","General Questions","0.92","4.4","Request: Historical Data, Purpose: Compliance","FALSE","95%","Path A - API Resolution","180","Email","COMPLEX-019","Can you provide order history for the past 2 years? I need it for tax purposes","FALSE","Neutral","Low","Data Request"
"Low","Product Complaints","0.78","3.9","Issue: Price Discrepancy, Request: Adjustment","FALSE","70%","Path B - RAG Response","420","Chat","COMPLEX-020","I found the product cheaper elsewhere. Will you honor a price adjustment?","FALSE","Neutral","Low","Price Mismatch"
"Critical","Product Complaints","0.89","2.9","Replacements: 4x, Pattern: Recurring Defect","TRUE","80%","Path C - Escalation Priority","600","Email","COMPLEX-021","This is my 4th replacement for the same product. I want a full refund!","FALSE","Critical","Very High","Recurring Defect"
"High","Order Tracking","0.85","3.2","Order: ORD-99887, Status: Lost in Transit","TRUE","40%","Path C - Escalation","600","Instagram","COMPLEX-022","My order ORD-99887 disappeared from my tracking. Where is it?!","FALSE","Negative","High","Lost Tracking"
"Low","Payment Issues","0.72","3.8","Request: Split Payment, Cards: 3x","FALSE","60%","Path B - RAG Response","420","Chat","COMPLEX-023","Can I split my payment between 3 different cards?","FALSE","Neutral","Low","Complex Payment"
"Low","Order Tracking","0.88","4.4","Account Type: Corporate, Feature: Bulk Discount","FALSE","85%","Path A - API Resolution","210","Email","COMPLEX-024","I have a corporate account with bulk discounts. Is my recent order eligible?","FALSE","Positive","Low","Corporate Account"
"Critical","Payment Issues","0.94","3.6","Issue: Payment without Order, Cause: Site Crash","TRUE","95%","Path A - API Resolution","280","WhatsApp","COMPLEX-025","The website crashed while I was checking out and now I've been charged but no order!","FALSE","Critical","Very High","Technical Error"
"High","Order Tracking","0.87","4.3","Timeline: 24h, Event: Wedding, Urgency: High","FALSE","75%","Path B - RAG Response","420","Chat","COMPLEX-026","I need this delivered by tomorrow for my wedding. What options do you have?","FALSE","Positive","High","Time Sensitive"
"Low","General Questions","0.76","3.7","Question: Shipping Cost, Comparison: Competitor","FALSE","70%","Path B - RAG Response","420","Email","COMPLEX-027","Your competitor ships for free. Why do you charge?","FALSE","Neutral","Low","Competitive Analysis"
"High","Order Tracking","0.91","3.9","Amount: $500, Reason: Accidental, Items: Multiple","TRUE","90%","Path A - API Resolution","280","WhatsApp","COMPLEX-028","My child accidentally ordered $500 worth of items. I want to cancel everything!","FALSE","Negative","Medium","Unintended Purchase"
"Low","General Questions","0.68","4.1","Opportunity: Partnership, Follower Base: 100k","TRUE","20%","Path C - Escalation","600","Instagram","COMPLEX-029","I'm a content creator with 100k followers. Can we discuss a partnership?","FALSE","Positive","Low","Business Opportunity"
"High","Refund Requests","0.87","3.5","Disputes: 3x, Status: Unresolved, Timeline: 1 month","TRUE","65%","Path C - Escalation","600","Email","COMPLEX-030","My account shows 3 open disputes from last month that should be resolved","FALSE","Negative","Medium","Dispute Resolution"
"Low","Refund Requests","0.75","3.6","Request: Price Adjustment, Promo: Expired","FALSE","50%","Path B - RAG Response","420","Chat","COMPLEX-031","Can you match the time-limited promotional offer that expired yesterday?","FALSE","Negative","Medium","Promotional Dispute"
"High","Refund Requests","0.91","3.4","Refund Status: Pending, Days: 21","TRUE","75%","Path C - Escalation","600","WhatsApp","COMPLEX-032","I requested a refund 3 weeks ago and it's still showing as pending!","FALSE","Negative","High","Delayed Refund"
"Medium","General Questions","0.89","3.7","Issue: Points Mismatch, Concern: Significant","FALSE","80%","Path A - API Resolution","280","Email","COMPLEX-033","The loyalty points on my account don't match my record. This is a significant discrepancy!","FALSE","Negative","Medium","Account Discrepancy"
"Low","Refund Requests","0.81","3.9","Timeline: 45 days, Evidence: Proof of Purchase","FALSE","70%","Path B - RAG Response","420","Chat","COMPLEX-034","Can I return an item purchased 45 days ago? I have proof of purchase","FALSE","Neutral","Low","Extended Return"
"High","Subscription Issues","0.93","3.5","Issue: Unwanted Charge, Action Requested: Pause","TRUE","90%","Path A - API Resolution","280","WhatsApp","COMPLEX-035","My subscription keeps charging even after I requested to pause it!","FALSE","Negative","High","Billing Error"
"Low","General Questions","0.94","4.5","Purpose: Tax Deduction, Timeline: ASAP","FALSE","98%","Path A - API Resolution","180","Email","COMPLEX-036","I need a detailed invoice for business tax deduction purposes ASAP","FALSE","Neutral","Low","Tax Documentation"
"Low","General Questions","0.80","4.0","Orders: 2x, Warehouse: Different","FALSE","75%","Path B - RAG Response","420","Chat","COMPLEX-037","Two of my orders arrived at the same time but came from different warehouses. Why?","FALSE","Neutral","Low","Logistical Question"
"Low","Order Tracking","0.85","4.2","Change: Address, Destination: International","FALSE","80%","Path A - API Resolution","290","WhatsApp","COMPLEX-038","I'm moving internationally. Can I change delivery to my new address in Germany?","FALSE","Neutral","Low","Address Change"
"Medium","Order Tracking","0.88","3.8","Status: Backorder, Duration: 60 days","FALSE","95%","Path A - API Resolution","210","Email","COMPLEX-039","This product has been on backorder for 2 months. When will it be available?","FALSE","Negative","Medium","Backorder Status"
"Critical","Product Complaints","0.96","2.6","Issue: Authenticity, Severity: Fraud Concern","TRUE","85%","Path C - Escalation Priority","600","Chat","COMPLEX-040","I purchased the 'genuine' item but discovered it's counterfeit! I want a refund and explanation!","FALSE","Critical","Very High","Counterfeit Product"
"High","Order Tracking","0.82","3.9","Type: B2B, Timeline: 1 month","FALSE","65%","Path C - Escalation","600","Email","COMPLEX-041","I negotiated a bulk order with a company representative last month. Where's my custom quote?","FALSE","Neutral","Low","Corporate Sales"
"Low","Refund Requests","0.84","4.1","Preference: Store Credit, Alternative: Refund","FALSE","88%","Path B - RAG Response","420","WhatsApp","COMPLEX-042","Can you process a return and issue store credit instead of a refund?","FALSE","Neutral","Low","Alternative Resolution"
"High","Delivery Delays","0.92","3.6","Issue: Shipping Damage, Severity: High","TRUE","85%","Path A - API Resolution","290","Chat","COMPLEX-043","My order arrived but the box was severely damaged and contents loose inside","FALSE","Negative","High","Damage in Transit"
"Low","General Questions","0.86","4.3","Category: Education, Request: Discount","FALSE","95%","Path B - RAG Response","420","Email","COMPLEX-044","Is there a student or educational discount available for bulk orders?","FALSE","Neutral","Low","Special Offers"
"Critical","General Questions","0.94","2.3","Issue: No Response, Duration: 5 days","TRUE","10%","Path C - Escalation Priority","600","WhatsApp","COMPLEX-045","I've been trying to contact support for 5 days with no response!","FALSE","Critical","Very High","Support Failure"
"Low","Order Tracking","0.91","4.5","Request: Expedite, Premium: Overnight","FALSE","95%","Path A - API Resolution","210","Chat","COMPLEX-046","Can my order be expedited? I'll pay extra for overnight shipping","FALSE","Positive","Low","Premium Service"
"Very High","Order Tracking","0.88","4.4","Reason: Medical, Priority: Compassionate","FALSE","80%","Path B - RAG Response","420","Email","COMPLEX-047","I have a medical reason for needing this item urgently. Can you help?","FALSE","Positive","Low","Compassionate Request"
"High","Product Complaints","0.91","3.3","Issue: Misrepresentation, Severity: High","TRUE","75%","Path C - Escalation","600","WhatsApp","COMPLEX-048","The product description was misleading. It's completely different from what I expected","FALSE","Negative","High","False Advertising"
"High","Subscription Issues","0.89","3.4","Issue: Termination Fee, Agreement: Dispute","TRUE","70%","Path B - RAG Response","420","Chat","COMPLEX-049","I want to cancel my 12-month subscription but you're charging an early termination fee!","FALSE","Negative","High","Cancellation Dispute"
"Low","General Questions","0.91","4.5","Status: Pre-Purchase, Question: Warranty","FALSE","92%","Path B - RAG Response","420","Email","COMPLEX-050","Beautiful product! But I need to know about warranty coverage before finalizing purchase","FALSE","Positive","Low","Pre-Purchase"
"Critical","General Questions","0.96","2.4","Customer Value: $50k+, Issue: Unnotified Change","TRUE","50%","Path C - Escalation Priority","600","WhatsApp","COMPLEX-051","My VIP status was removed without explanation! I spent over $50k with you annually","FALSE","Critical","Very High","Account Status"
"Critical","General Questions","0.98","2.3","Issue: Unauthorized Access, Urgency: Security","TRUE","5%","Path C - Escalation Priority","600","Email","COMPLEX-052","I need to report a security breach. Someone accessed my account!","FALSE","Critical","Very High","Security Incident"
"Low","General Questions","0.84","4.2","Request: Spending Report, Scope: All Categories","FALSE","80%","Path A - API Resolution","280","Chat","COMPLEX-053","Can you generate a report comparing my spending across all categories?","FALSE","Neutral","Low","Analytics Request"
"High","Order Tracking","0.92","3.8","Issue: Wrong Order, Resolution: Swap/Reroute","TRUE","85%","Path A - API Resolution","290","WhatsApp","COMPLEX-054","I received someone else's order by mistake. How do we resolve this?","FALSE","Neutral","Medium","Wrong Order Sent"
"High","Subscription Issues","0.90","3.6","Issue: Missing Benefit, Type: Shipping","TRUE","85%","Path A - API Resolution","280","Email","COMPLEX-055","My subscription was supposed to give me free shipping but I'm being charged shipping fees!","FALSE","Negative","Medium","Benefit Discrepancy"
"Low","General Questions","0.86","4.4","Request: Custom Gift Message, Priority: Low","FALSE","90%","Path B - RAG Response","420","Chat","COMPLEX-056","I'd like to purchase this item as a gift with a custom message. Can you help?","FALSE","Positive","Low","Special Request"
"Low","Technical Support","0.81","3.9","Issue: Device Support, Type: Compatibility","FALSE","75%","Path B - RAG Response","420","WhatsApp","COMPLEX-057","The app doesn't work on my older phone. Do you support backward compatibility?","FALSE","Neutral","Low","Device Compatibility"
"Low","Order Tracking","0.79","3.8","Request: Batch Process, Type: Multiple Orders","FALSE","70%","Path B - RAG Response","420","Email","COMPLEX-058","I have multiple orders on hold. Can you batch process them together?","FALSE","Neutral","Low","Batch Processing"
"Medium","General Questions","0.88","3.7","Issue: Inventory Sync Error, Platform: Website","FALSE","85%","Path A - API Resolution","280","Chat","COMPLEX-059","Your website says the item is in stock but checkout says it's out of stock!","FALSE","Negative","Medium","System Error"
